name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
Anatomy Trains,Thomas W. Myers,1,4.5,51.23,$,59.0,9780702046544,1,dataset/Medical/0000057.jpg
Hallucinations,Oliver Sacks,1,4.0,5.66,$,12.9,9781447208266,1,dataset/Medical/0000058.jpg
Loving What Is,Byron Katie,1,4.0,13.71,$,21.1,9781400045372,1,dataset/Medical/0000059.jpg
The Body Keeps the Score,Bessel van der Kolk,1,4.5,14.56,$,21.5,9780143127741,1,dataset/Medical/0000061.jpg
Rewire Your Anxious Brain,Catherine M. Pittman,1,4.0,10.14,$,16.0,9781626251137,1,dataset/Medical/0000063.jpg
Shadows Of The Workhouse,Jennifer Worth,1,4.0,8.04,$,11.4,9780753825853,1,dataset/Medical/0000064.jpg
Call The Midwife,Jennifer Worth,1,4.0,7.89,$,11.4,9780753827871,1,dataset/Medical/0000065.jpg
The Emperor of All Maladies,Siddhartha Mukherjee,1,4.5,13.44,$,13.9,9780007250929,1,dataset/Medical/0000066.jpg
Complications,Atul Gawande,1,4.5,8.99,$,12.9,9781846681325,1,dataset/Medical/0000067.jpg
Brain Maker,David Perlmutter,1,4.0,13.73,$,21.1,9781473619357,1,dataset/Medical/0000068.jpg
The Gift of Therapy,Irvin Yalom,1,4.5,12.49,$,16.0,9780061719615,1,dataset/Medical/0000069.jpg
You Can Heal Your Life,Louise Hay,1,4.0,14.83,$,19.1,9781561706280,1,dataset/Medical/0000071.jpg
Gratitude,Oliver Sacks,2,4.0,7.82,$,12.9,9781509822805,1,dataset/Medical/0000072.jpg
"DBT (R) Skills Training Handouts and Worksheets, Second Edition",Marsha M. Linehan,1,4.5,30.06,$,32.5,9781572307810,1,dataset/Medical/0000073.jpg
Man's Search for Meaning,Viktor E. Frankl,1,4.5,11.97,$,15.0,9780807014271,1,dataset/Medical/0000074.jpg
Don't Shoot the Dog!,Karen Pryor,1,4.5,8.11,$,10.3,9781860542381,1,dataset/Medical/0000075.jpg
Self Compassion,Kristin Neff,1,4.0,12.79,$,21.1,9781444738179,1,dataset/Medical/0000077.jpg
The Man Who Mistook His Wife for a Hat,Oliver Sacks,1,4.0,8.37,$,12.4,9781447275404,1,dataset/Medical/0000079.jpg
Hands Of Light,Barbara Ann Brennan,1,4.5,20.44,$,30.4,9780553345391,1,dataset/Medical/0000080.jpg
The Drama of the Gifted Child,Alice Miller,1,4.0,10.84,$,11.99,9780465016907,1,dataset/Medical/0000081.jpg
Taking Charge of Your Fertility,Toni Weschler,1,4.5,21.9,$,26.3,9780062326034,1,dataset/Medical/0000082.jpg
When Breath Becomes Air,Paul Kalanithi,1,4.5,7.54,$,8.8,9781529110944,1,dataset/Medical/0000083.jpg
It Didn't Start with You,Mark Wolynn,1,3.5,13.18,$,16.0,9781101980385,1,dataset/Medical/0000084.jpg
Trauma and Recovery,Judith Herman,1,4.5,11.84,$,13.99,9780465061716,1,dataset/Medical/0000085.jpg
Love's Executioner,Irvin D. Yalom,1,4.0,9.6,$,12.9,9780141975443,1,dataset/Medical/0000086.jpg
The Complete Ketogenic Diet for Beginners,Amy Ramos,1,4.0,11.08,$,12.4,9781623158088,1,dataset/Medical/0000087.jpg
The Compassionate Mind,Paul Gilbert,1,4.0,13.42,$,15.0,9781849010986,1,dataset/Medical/0000088.jpg
I Had a Black Dog,Matthew Johnstone,1,4.5,6.8,$,10.3,9781845295899,1,dataset/Medical/0000089.jpg
The End of Alzheimer's,Dale E. Bredesen,1,4.5,15.49,$,18.0,9781785041228,1,dataset/Medical/0000090.jpg
The Secret Language of Color Cards,Inna Segal,1,4.5,10.1,$,16.0,9781582703268,1,dataset/Medical/0000091.jpg
Smart but Scattered,Peg Dawson,1,4.0,12.94,$,17.0,9781593854454,1,dataset/Medical/0000095.jpg
Better,Atul Gawande,1,4.0,8.99,$,12.9,9781861976574,1,dataset/Medical/0000096.jpg
The Complete Low-Fodmap Diet,Sue Shepherd,1,4.0,15.7,$,17.95,9781615190805,1,dataset/Medical/0000097.jpg
Farewell To The East End,Jennifer Worth,1,4.5,7.76,$,11.4,9780753823064,1,dataset/Medical/0000098.jpg
The Epigenetics Revolution,Nessa Carey,1,4.0,6.21,$,12.9,9781848313477,1,dataset/Medical/0000099.jpg
Maps of Meaning,Jordan B. Peterson,1,4.0,49.85,$,56.5,9780415922227,1,dataset/Medical/0000100.jpg
A Mind of Your Own,Kelly Brogan,1,4.0,12.76,$,16.0,9780008128005,1,dataset/Medical/0000101.jpg
"Many Lives, Many Masters",Brian L. Weiss,1,4.0,11.03,$,16.0,9780671657864,1,dataset/Medical/0000103.jpg
Musicophilia,Oliver Sacks,1,4.0,9.43,$,13.9,9780330523592,1,dataset/Medical/0000104.jpg
